line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
155,Cr,205.62600708007812,6.029606819152832,967.0,-1.365351898939494,2.057185031288436,7.2297695205377,0.06896405677655082,0.21087069687183854,1778.0,0.5313807531380753,0.2890017931858936,0.3502993881702423,0.41305509747844665
157,Cr,206.2239990234375,6.012125015258789,1917.0,0.1621256010247265,1.241242642795691,7.233824378916737,0.006834353037064034,0.17944748090384968,1429.0,0.427077106993425,0.5729228930065751,0.21229581534862518,0.226457866615785
160,Cr,206.61599731445312,6.00069522857666,2525.0,-0.4484986949609606,0.47409389147396397,0.3513759511727835,-0.15060693642287504,0.1994077759458622,309.0,0.09234907352062163,0.7546323968918112,0.30512547492980957,0.0028133365166338156
346,Cr,266.6809997558594,6.155295372009277,1041.0,-0.4457299331564002,0.2875078204259542,0.27585585280185,,,,0.0,0.3111177525403467,0.07497250288724899,0.003137925050854209
377,Cr,282.32000732421875,8.15972900390625,1022.0,-1.5171691291622125,0.8342641075208799,3.36109681442996,0.08418834161114574,0.230834878962812,1214.0,0.36282127913927076,0.3054393305439331,0.5070026218891144,0.9933867269148033
382,Cr,283.6470031738281,5.920444011688232,726.0,-2.714761725198727,1.5850856043751644,6.594534301425959,-0.20954227779344592,0.2451897614384627,2359.0,0.7050209205020921,0.21697549312612074,0.49835261702537537,0.0027657461607504927
385,Cr,284.0849914550781,8.11098575592041,1577.0,-0.5594346881686647,0.3561083275824448,0.4180262029599552,0.32092453934830445,0.9144802458938033,1172.0,0.35026897788404066,0.47130902570233113,0.4681805670261383,0.003246093717851893
386,Cr,284.4079895019531,5.884855270385742,2404.0,-0.0008987458505984591,0.9480556823807327,0.5834079981000699,0.3254942971055357,0.17650551689536229,797.0,0.23819485953377167,0.7184698147041243,0.17383580654859543,0.9988322282281578
387,Cr,285.0669860839844,5.855428695678711,2549.0,-0.27341177511476644,0.4609265770953598,0.710655475385062,-0.27312272064524734,0.12410543142936274,215.0,0.06425582785415421,0.7618051404662284,0.22025860846042633,0.003481149336573166
391,Cr,286.34100341796875,5.855428695678711,2886.0,-0.3114890682906619,0.5357418589210791,0.33763093928412113,,,,0.002988643156007173,0.8625224148236701,0.22395452857017517,0.003300633308003276
393,Cr,286.75799560546875,5.81549596786499,2594.0,-0.4396632786759369,0.45035444396771634,0.27324891231333326,,,,0.0,0.7752540346682606,0.3252258747816086,0.0021734494684100317
417,Cr,298.0610046386719,7.916229248046875,3346.0,-0.39844384329352067,0.523904853981743,0.364554905494523,,,,0.0,1.0,0.08053569868206978,0.9949685477801694
427,Cr,302.2439880371094,5.1321330070495605,893.0,-0.8063976507962707,0.518773798550038,0.4342263898676244,,,,0.0,0.26688583383144054,0.3806287944316864,0.9964539725118986
450,Cr,311.9549865722656,6.395613193511963,2739.0,-0.18020800153136918,0.39723391113852924,0.23495222040604685,,,,0.0,0.8185893604303646,0.2380509227514267,0.9131752876365157
451,Cr,312.12701416015625,6.406189918518066,2762.0,-0.14074372399631585,0.421150162285744,0.2339640902581004,,,,0.0,0.8254632396891811,0.20853712409734726,0.9820304359803212
543,Cr,357.9729919433594,3.4635283946990967,2174.0,-1.047912206999868,0.36759621802140435,0.33154044629734775,,,,0.0,0.6497310221159593,0.529674768447876,0.9975565595911091
546,Cr,359.4530029296875,3.4492650032043457,1440.0,-1.1829234526215249,1.4579662112604375,7.5121653622482185,-0.04598626599756628,0.18381925617527523,1895.0,0.5663478780633593,0.4303646144650329,0.04046790860593319,0.003539290411595386
549,Cr,360.6369934082031,3.437934398651123,2791.0,-0.45081548170265506,0.42491017483757565,0.5525212913168265,-0.27859171154834783,0.15046792247905405,293.0,0.08756724447101016,0.8341303048416019,0.46034887433052063,0.0019624803517651027
648,Cr,398.50299072265625,5.655519962310791,498.0,0.9727408023596382,4.484828296369182,2.4405525673414217,,,,0.0,0.1488344291691572,0.7255458533763885,0.002105321559719831
653,Cr,399.2239990234375,5.6494646072387695,357.0,-2.851013670722036,2.9126619540500065,0.5903098986153114,,,,0.0,0.10669456066945607,0.134665384888649,0.9968061463626083
33,Fe,155.90899658203125,8.184540748596191,1053.0,-0.7799439152150285,0.450885605140427,0.30285686776790705,,,,0.0,0.3147041243275553,0.1499209702014923,0.0030973691148255063
39,Fe,156.37899780273438,8.229738235473633,3340.0,-0.5068092656898955,0.31737927574028874,0.2713961584536295,,,,0.0,0.9982068141063957,0.008062262553721666,0.0028577485121098504
41,Fe,156.6820068359375,8.145272254943848,3346.0,-0.5495945122763928,0.31850394180684216,0.27751500172419263,,,,0.0,1.0,0.04147045686841011,0.0027304142339985293
45,Fe,158.4949951171875,8.174447059631348,3346.0,-0.09781761166138381,0.31698006910650683,0.25236027913917397,,,,0.0,1.0,0.013889065012335777,0.001954262283178507
46,Fe,158.82899475097656,8.19266128540039,3346.0,0.032793566992147305,0.32826984161547007,0.2620203425249909,,,,0.0,1.0,0.0033863047137856483,0.0014898917200265936
52,Fe,160.84500122070312,7.708299160003662,2263.0,-0.5242793542235944,0.33553136597798733,0.2663870883298817,-0.46078619955946465,0.2551364500013921,1083.0,0.3236700537955768,0.6763299462044232,0.09407560527324677,0.0030226163704030703
53,Fe,161.8470001220703,7.708299160003662,1794.0,-0.2068148196033519,0.32914757351736645,0.2702370099235364,-0.13911519499021807,0.24260655035455997,1552.0,0.4638374178123132,0.5361625821876868,0.014964824076741934,0.0020053973004841488
54,Fe,162.16900634765625,7.693100929260254,3249.0,-0.24126559516571433,0.2991848048414716,0.29402563793410763,-0.2341452052819264,0.16231667793747745,92.0,0.02749551703526599,0.9710101613867305,0.01230834610760212,0.0023665283067666487
56,Fe,162.552001953125,7.928641319274902,3341.0,0.05687704355014489,0.30525516438573874,0.2559883920958246,,,,0.0,0.9985056784219964,0.15800520777702332,0.0013846136371790713
78,Fe,171.3000030517578,7.53913688659668,641.0,-0.0030917557041476584,0.26483677610500955,0.2060763271479122,-0.23647055184778765,0.26783193762137314,1706.0,0.5098625224148237,0.19157202630005976,0.21116574108600616,0.0020802189673106075
93,Fe,179.33700561523438,8.943026542663574,235.0,0.6501045128511578,0.3998911873261973,0.2663893234272155,0.5740047711473579,0.3968749391930721,3111.0,0.9297668858338315,0.07023311416616856,0.12391145527362823,0.9897946922658064
117,Fe,188.8730010986328,9.14399242401123,3006.0,0.7224327430497937,0.397017307169225,0.2939314807146458,0.260757838386823,0.1887996790736363,340.0,0.10161386730424388,0.8983861326957562,0.3151869624853134,0.9974388427864598
142,Fe,200.10299682617188,8.717902183532715,3346.0,0.8312365891615059,0.33541711705403787,0.2710564229176788,,,,0.0,1.0,0.11247077956795692,0.9981746180205264
224,Fe,223.46099853515625,8.127942085266113,3346.0,0.9207151827146305,0.36503198039489315,0.28591368674552814,,,,0.0,1.0,0.03916536271572113,0.9977284584548489
292,Fe,244.00399780273438,8.234003067016602,3346.0,-0.5802004856222069,0.465200706505546,0.3600916637790498,,,,0.0,1.0,0.1114165298640728,0.002564498899735736
300,Fe,248.40199279785156,4.991271018981934,241.0,-3.878672745203989,0.937988837769661,0.1794692704456526,,,,0.0,0.07202630005977287,0.6543893814086914,0.0033714228153817844
332,Fe,258.6650085449219,4.793235778808594,2047.0,-0.6304741587982079,0.31882358115468573,0.49019671260858855,-0.47109839621290917,0.23284607359794812,1169.0,0.3493723849372385,0.6117752540346683,0.025122351944446564,0.002703922605142679
360,Fe,275.6549987792969,5.48413610458374,1490.0,-1.015915184956306,0.3729624414272467,0.7510834329488381,-0.4597608282615724,0.2290416225242343,1856.0,0.5546921697549313,0.44530783024506876,0.07518309727311134,0.0034000682371112213
420,Fe,299.5299987792969,4.190860748291016,1844.0,-0.8513977265168045,0.6336489657335678,0.4881098604270977,,,,0.0,0.5511057979677226,0.4595212936401367,0.003121347259585214
473,Fe,322.6719970703125,6.241628646850586,3309.0,-0.08358613232469736,0.21757632895069853,0.1992172792544433,,,,0.0,0.9889420203227735,0.09376151114702225,0.9964293666763657
539,Fe,356.6400146484375,4.43461275100708,2643.0,-0.09228892730609317,0.1103047312865291,0.11829378510684878,,,,0.0,0.7898983861326958,0.062230270355939865,0.005637023055332142
558,Fe,363.25,4.37135124206543,31.0,-0.8813499380521002,0.8932045491139782,,0.21375222287610285,0.11138860522062215,3271.0,0.9775851763299462,0.009264793783622235,0.15368901193141937,0.9957000731136026
577,Fe,372.0989990234375,3.332019567489624,391.0,-0.17880232360459303,0.14319696350794187,0.11430574824661369,-0.3029504783276096,0.11990196653266849,2876.0,0.8595337716676629,0.11685594739988045,0.1290436089038849,0.003822953565103883
585,Fe,375.05499267578125,4.220362186431885,3146.0,-0.13326342293715498,0.11340592387469423,0.3314604339436727,0.14655239864827152,0.12039222806638535,199.0,0.05947399880454274,0.9402271368798566,0.010261883959174156,0.004368583958534996
600,Fe,382.1510009765625,4.1033735275268555,132.0,-0.199554115906043,2.2739301962711456,0.11675431616549267,0.28050955833317914,0.09395255371112661,3198.0,0.9557680812910938,0.03945008965929468,0.20896394550800323,0.9941067941609448
676,Fe,404.6960144042969,4.548506259918213,175.0,-0.5889115816211223,0.551823852282952,0.5004824554029297,-0.08018207420746393,0.09119371192699668,3125.0,0.9339509862522415,0.05230125523012552,0.4194224178791046,0.004811039785952422
685,Fe,406.4739990234375,4.607593059539795,297.0,-0.4936833843565722,0.5132237917734771,0.8990437877818015,-0.06473384042997843,0.08936509626666372,3048.0,0.9109384339509863,0.08876270173341302,0.18656383454799652,0.004026602023578406
77,Mn,171.18299865722656,11.046563148498535,64.0,-12.35617815145465,2.963948115137873,3.0527111506672235,,,,0.0,0.019127316198445904,0.6829240918159485,0.10872172991649609
81,Mn,173.35499572753906,8.928232192993164,1503.0,-0.9369897345413563,1.2602796328347383,2.3549699071904984,,,,0.0,0.4491930663478781,0.33466705679893494,0.9977166046674745
105,Mn,182.70799255371094,13.691479682922363,3336.0,1.835538090121652,2.9199378283864026,4.644675232879175,,,,0.0,0.9970113568439928,0.02523836400359869,0.03077339555101197
113,Mn,185.32699584960938,8.466218948364258,683.0,-0.6605295704318053,1.2932421961143874,0.8498774857931213,,,,0.0,0.2041243275552899,0.009518581442534924,0.002395707159112592
122,Mn,191.50999450683594,8.250223159790039,3346.0,0.473554169233914,2.1295991383693575,4.624810033996129,,,,0.0,1.0,0.02196881826967001,0.015266077922253093
123,Mn,192.125,8.262715339660645,3187.0,-0.910059576984878,1.9281966880139878,4.405671978833414,0.009607424034413725,0.4515936357801175,87.0,0.026001195457262403,0.9524805738194859,0.5533050894737244,0.011836210602658801
138,Mn,199.42300415039062,10.12450885772705,3310.0,1.4276895725127332,2.862010558909824,4.609044409760217,,,,0.0,0.9892408846383742,0.06337207555770874,0.012104426098178437
222,Mn,223.0679931640625,9.886493682861328,2481.0,0.7917577026098712,1.7305832745121943,4.352446367664065,,,,0.0,0.7414823670053795,0.6846839785575867,0.007410286804311277
330,Mn,257.68798828125,4.8114166259765625,3034.0,-1.8475779125281022,2.31041295842516,5.109009519600922,-0.3874113952960698,0.12240670325776307,270.0,0.08069336521219367,0.9067543335325762,0.020055758766829967,0.0017204962788815229
334,Mn,259.45001220703125,4.778738021850586,2899.0,-1.7656128291142181,2.0173619859703726,4.735371845855648,-0.1874596413795615,0.20991493764537875,217.0,0.06485355648535565,0.8664076509264794,0.2627919316291809,0.00185410064958489
335,Mn,260.64599609375,4.756806373596191,2966.0,-1.2098991460175483,1.5726551451467425,3.6384092576948217,-1.492549650095043e-05,1.3221903900443975e-06,176.0,0.05260011954572624,0.8864315600717274,0.11838896200060844,0.0014397793007792884
372,Mn,279.5639953613281,4.434910774230957,2456.0,-2.7541355553988005,3.0537247006427615,4.646461967471968,-0.2673139641939777,0.39629752748799596,767.0,0.22922893006575015,0.7340107591153616,0.17222847044467926,0.9886432568138431
410,Mn,293.3909912109375,5.400401592254639,1703.0,-15.942772194906212,3.0678434185403853,5.261006900095794,-1.6098775702744206e-05,0.06337691492534384,1455.0,0.43484757919904365,0.5089659294680215,0.01545604970306158,0.0008474073564679746
412,Mn,294.0169982910156,5.391411304473877,2936.0,-2.1973784058502446,3.5870972467093196,5.0476809044786,-0.010857931435083401,0.11604056385857574,404.0,0.12074118350268978,0.877465630603706,0.009589962661266327,0.000803655729374064
415,Mn,295.0069885253906,5.377261161804199,2903.0,-1.4376680819738965,2.383968341513872,4.8017369779000125,0.14805747736425445,0.14250936632131114,322.0,0.09623430962343096,0.8676031081888822,0.18540002405643463,0.003558896927803042
528,Mn,348.3900146484375,5.391411304473877,2772.0,-0.8407165472985056,2.38036503624107,4.987095361829475,-1.3349209112334393e-05,3.0156009066502063e-06,525.0,0.15690376569037656,0.8284518828451883,0.01629568263888359,0.005723418555496111
667,Mn,401.92401123046875,5.1989850997924805,1695.0,-1.3702965993739689,1.6392745583738642,2.309364940802751,0.375308734474622,0.194466334742417,309.0,0.09234907352062163,0.5065750149432158,0.45367780327796936,0.011321223736302833
674,Mn,404.25,5.181234836578369,2491.0,-1.8637534605787422,3.3513499346437365,4.921215422327567,-0.10283611977319751,0.1775424888573074,627.0,0.18738792588164974,0.7444710101613867,0.0327255018055439,0.004766951170792551
679,Mn,405.66900634765625,5.1989850997924805,3096.0,-1.7662709103689664,2.7250131208488573,3.4966384289755688,0.0518929486240971,0.0975028625214147,208.0,0.062163777644949195,0.9252839210998207,0.0858428031206131,0.9803845173767853
698,Mn,408.03900146484375,5.225137233734131,2189.0,-0.7188670510840964,1.8039218904273602,2.5170216011426136,,,,0.0,0.6542139868499701,0.30989396572113037,0.006356038005397019
196,Ni,216.6230010986328,6.764212131500244,2039.0,-1.260453068228287,1.7569944307833567,0.4112251581242947,-0.20729354498270425,0.1350222121642591,659.0,0.19695158398087267,0.6093843395098625,0.029357008635997772,0.0019242716692944861
199,Ni,216.97799682617188,6.870934963226318,3220.0,-1.1599460060029827,1.8160046581598388,2.7023483599627194,,,,0.0,0.9623430962343096,0.0450949314981699,0.9897068352281038
206,Ni,218.5279998779297,6.9957451820373535,2897.0,-0.08694956649949859,0.7783471278665363,0.25094866913770886,,,,0.0,0.865809922295278,0.05865569785237312,0.9888421343889274
210,Ni,220.2100067138672,6.952445983886719,2239.0,-0.7311413645627454,0.46958958247221244,3.3133821160750943,0.306596668105378,0.15470930009452483,1102.0,0.32934847579199045,0.669157202630006,0.3118559420108795,0.00399463566907148
